day,direction,virtual_direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score,mirror_mode
2024-09-16,long,long,2024-09-16 10:04:00-04:00,19430.75,2024-09-16 10:15:30-04:00,19461.75,558.0,9,468.0,win,target,19404.75,19464.0,2024-09-16 09:58:00-04:00,2024-09-16 09:58:00-04:00,2024-09-16 10:04:00-04:00,26.0,19462.0,,,0.4345991561181435,0,False,0.8225874185562134,False
2024-09-16,short,long,2024-09-16 10:19:00-04:00,19439.75,2024-09-16 10:21:00-04:00,19408.5,1875.0,30,495.0,loss,stop,19431.5,19464.0,2024-09-16 10:18:00-04:00,2024-09-16 10:18:00-04:00,2024-09-16 10:18:00-04:00,8.25,19449.75,2024-09-16 10:21:00-04:00,19431.5,0.24615384615384617,1,False,0.7211538434028626,True
2024-09-17,short,short,2024-09-17 09:38:00-04:00,19539.5,2024-09-17 09:44:00-04:00,19560.25,-498.0,12,474.0,loss,stop,19559.25,19529.0,2024-09-17 09:37:00-04:00,2024-09-17 09:37:00-04:00,2024-09-17 09:38:00-04:00,19.75,19515.75,2024-09-17 09:44:00-04:00,19559.25,0.6446280991735537,0,False,0.7289242267608642,False
2024-09-17,long,short,2024-09-17 09:47:00-04:00,19560.25,2024-09-17 09:48:30-04:00,19554.25,-564.0,47,493.5,win,target,19565.5,19529.0,2024-09-17 09:46:00-04:00,2024-09-17 09:46:00-04:00,2024-09-17 09:46:00-04:00,5.25,19554.0,,,0.136986301369863,0,False,0.6610827565193176,True
2024-09-17,long,short,2024-09-17 10:06:00-04:00,19555.0,2024-09-17 10:07:30-04:00,19546.0,-576.0,32,496.0,win,target,19562.75,19475.25,2024-09-17 10:05:00-04:00,2024-09-17 10:05:00-04:00,2024-09-17 10:06:00-04:00,7.75,19545.75,,,0.08571428571428572,0,False,0.6720717668533325,True
2024-09-17,short,short,2024-09-17 10:10:00-04:00,19562.25,2024-09-17 10:13:30-04:00,19542.75,585.0,15,495.0,win,target,19578.75,19475.25,2024-09-17 10:09:00-04:00,2024-09-17 10:09:00-04:00,2024-09-17 10:09:00-04:00,16.5,19542.5,,,0.1570048309178744,0,False,0.7414156317710876,False
2024-09-17,long,short,2024-09-17 10:16:00-04:00,19565.5,2024-09-17 10:16:30-04:00,19561.25,-561.0,66,495.0,win,target,19569.25,19475.25,2024-09-17 10:15:00-04:00,2024-09-17 10:15:00-04:00,2024-09-17 10:15:00-04:00,3.75,19561.0,,,0.03723404255319149,0,False,0.8065960168838501,True
2024-09-17,short,short,2024-09-17 10:19:00-04:00,19562.75,2024-09-17 10:21:00-04:00,19544.0,562.5,15,472.5,win,target,19578.5,19475.25,2024-09-17 10:18:00-04:00,2024-09-17 10:18:00-04:00,2024-09-17 10:19:00-04:00,15.75,19543.75,,,0.15012106537530268,0,False,0.7789916038513184,False
2024-09-17,long,short,2024-09-17 10:27:00-04:00,19568.25,2024-09-17 10:31:30-04:00,19554.5,-577.5,21,493.5,win,target,19580.0,19475.25,2024-09-17 10:24:00-04:00,2024-09-17 10:24:00-04:00,2024-09-17 10:26:00-04:00,11.75,19554.25,,,0.10978520286396182,0,False,0.9113725543022155,True
2024-09-17,long,short,2024-09-17 10:40:00-04:00,19562.75,2024-09-17 10:42:00-04:00,19568.75,696.0,58,493.0,loss,stop,19567.0,19475.25,2024-09-17 10:39:00-04:00,2024-09-17 10:39:00-04:00,2024-09-17 10:40:00-04:00,4.25,19557.75,2024-09-17 10:42:00-04:00,19567.0,0.043596730245231606,1,False,0.8292364716529846,True
